t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
94,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,15.359461286486095,1.0,0.0,0.0,-15.359461286486095,339.88443163366196,0.0,0.0,0.0,78.30882352940881,0.0,15.359461286486095,85.2
95,1.0,37.218588640319346,117.03958691910495,68.0,0.5810000000228408,0.31799999998762635,0.0,0.0,0.0,0.0,0.0,0.0,69.55116705880657,1.0,0.0,0.0,-69.55116705880657,409.43559869246855,-74.43717728063869,0.0,74.43717728063869,117.03958691910495,0.0,69.55116705880657,136.0
96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,17.032716906283397,1.0,0.0,0.0,-17.032716906283397,426.46831559875193,0.0,0.0,0.0,78.30882352940881,0.0,17.032716906283397,85.2
97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,13.406090358707303,1.0,0.0,0.0,-13.406090358707303,439.8744059574592,0.0,0.0,0.0,78.30882352940881,0.0,13.406090358707303,85.2
98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,1.475757743328188,1.0,1.475757743328188,438.398648214131,0.0,0.0,0.0,78.30882352940881,0.0,0.0,86.67575774332819
99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,89.19093279713594,1.0,89.19093279713594,349.2077154169951,0.0,0.0,0.0,78.30882352940881,0.0,0.0,174.39093279713595
100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940863,1.0879999999879681,1.0,0.0,0.0,0.0,32.244650663479675,1.0,32.244650663479675,316.9630647535154,0.0,0.0,0.0,78.30882352940863,0.0,0.0,117.44465066347948
101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,38.89501837997227,1.0,38.89501837997227,278.06804637354315,0.0,0.0,0.0,78.30882352940881,0.0,0.0,124.09501837997227
102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940858,1.0879999999879681,1.0,0.0,0.0,0.0,31.760887945742823,1.0,31.760887945742823,246.30715842780035,0.0,0.0,0.0,78.30882352940858,0.0,0.0,116.96088794574258
103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,117.43053585606376,108.85384843747704,1.0818297397452532,1.0,0.0,0.0,1.0,0.0,0.0,0.0,246.30715842780035,0.0,0.0,0.0,108.85384843747704,0.0,0.0,117.43053585606424
104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,19.01979680999824,1.0,19.01979680999824,227.2873616178021,0.0,0.0,0.0,78.30882352940881,0.0,0.0,104.21979680999824
105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,16.036780116501717,1.0,16.036780116501717,211.2505815013004,0.0,0.0,0.0,78.30882352940881,0.0,0.0,101.23678011650172
